# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 1.74100E-03     293.000     293.010     293.000     293.013     293.012     293.011     293.010     293.011     293.011     293.000
 1.76100E-03     293.000     293.010     293.000     293.014     293.013     293.011     293.010     293.011     293.011     293.000
 1.78100E-03     293.000     293.011     293.000     293.014     293.013     293.011     293.011     293.011     293.012     293.000
 1.80100E-03     293.000     293.011     293.000     293.015     293.014     293.011     293.011     293.011     293.012     293.000
 1.82100E-03     293.000     293.011     293.000     293.015     293.014     293.011     293.011     293.011     293.012     293.000
 1.84100E-03     293.000     293.011     293.000     293.015     293.015     293.011     293.011     293.012     293.012     293.000
 1.86100E-03     293.000     293.011     293.000     293.015     293.015     293.011     293.011     293.012     293.012     293.000
 1.88100E-03     293.000     293.011     293.000     293.015     293.015     293.011     293.011     293.012     293.012     293.000
 1.90100E-03     293.000     293.011     293.000     293.016     293.015     293.011     293.011     293.012     293.012     293.000
 1.92100E-03     293.000     293.011     293.000     293.016     293.016     293.011     293.011     293.012     293.012     293.000
 1.94100E-03     293.000     293.011     293.000     293.015     293.015     293.011     293.011     293.012     293.012     293.000
 1.96100E-03     293.000     293.011     293.000     293.014     293.014     293.011     293.011     293.012     293.012     293.000
 1.98100E-03     293.000     293.011     293.000     293.013     293.012     293.011     293.011     293.012     293.012     293.000
 2.00100E-03     293.000     293.011     293.000     293.012     293.011     293.011     293.011     293.012     293.012     293.000
 2.02100E-03     293.000     293.011     293.000     293.011     293.010     293.011     293.011     293.012     293.012     293.000
 2.04100E-03     293.000     293.011     293.000     293.010     293.009     293.011     293.011     293.012     293.012     293.000
 2.06100E-03     293.000     293.011     293.000     293.009     293.008     293.011     293.011     293.012     293.012     293.000
 2.08100E-03     293.000     293.011     293.000     293.008     293.007     293.011     293.011     293.012     293.012     293.000
 2.10100E-03     293.000     293.011     293.000     293.008     293.006     293.011     293.011     293.012     293.012     293.000
 2.12100E-03     293.000     293.011     293.000     293.007     293.005     293.011     293.011     293.012     293.012     293.000
 2.14100E-03     293.000     293.011     293.000     293.006     293.004     293.011     293.011     293.012     293.012     293.000
 2.16100E-03     293.000     293.011     293.000     293.005     293.003     293.011     293.011     293.012     293.012     293.000
 2.18100E-03     293.000     293.011     293.000     293.005     293.002     293.011     293.011     293.012     293.012     293.000
 2.20100E-03     293.000     293.011     293.000     293.004     293.001     293.011     293.011     293.012     293.012     293.000
 2.22100E-03     293.000     293.011     293.000     293.003     293.001     293.011     293.011     293.011     293.011     293.000
 2.24100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.26100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.28100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.30100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.32100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.34100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.36100E-03     293.000     293.011     293.000     293.003     293.000     293.011     293.011     293.011     293.011     293.000
 2.38100E-03     293.000     293.011     293.000     293.003     293.001     293.011     293.011     293.011     293.011     293.000
 2.40100E-03     293.000     293.010     293.000     293.003     293.001     293.011     293.011     293.011     293.011     293.000
 2.42100E-03     293.000     293.010     293.000     293.004     293.001     293.011     293.011     293.011     293.011     293.000
 2.44100E-03     293.000     293.010     293.000     293.004     293.002     293.011     293.011     293.011     293.011     293.000
 2.46100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.011     293.011     293.011     293.000
 2.48100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.010     293.011     293.011     293.000
 2.50100E-03     293.000     293.010     293.000     293.003     293.001     293.010     293.010     293.011     293.010     293.000
 2.52100E-03     293.000     293.010     293.000     293.003     293.001     293.010     293.010     293.011     293.010     293.000
 2.54100E-03     293.000     293.010     293.000     293.003     293.001     293.010     293.010     293.011     293.010     293.000
 2.56100E-03     293.000     293.010     293.000     293.005     293.003     293.010     293.010     293.011     293.011     293.000
 2.58100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.010     293.011     293.010     293.000
 2.60100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.010     293.011     293.010     293.000
 2.62100E-03     293.000     293.010     293.000     293.003     293.002     293.010     293.010     293.010     293.010     293.000
 2.64100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.010     293.010     293.010     293.000
 2.66100E-03     293.000     293.010     293.000     293.004     293.002     293.010     293.010     293.010     293.010     293.000
 2.68100E-03     293.000     293.009     293.000     293.004     293.002     293.010     293.010     293.010     293.010     293.000
 2.70100E-03     293.000     293.009     293.000     293.004     293.003     293.010     293.010     293.010     293.010     293.000
 2.72100E-03     293.000     293.009     293.000     293.004     293.003     293.010     293.009     293.010     293.010     293.000
 2.74100E-03     293.000     293.009     293.000     293.004     293.003     293.010     293.009     293.010     293.010     293.000
 2.76100E-03     293.000     293.009     293.000     293.004     293.003     293.009     293.009     293.010     293.010     293.000
 2.78100E-03     293.000     293.009     293.000     293.005     293.003     293.009     293.009     293.010     293.010     293.000
 2.80100E-03     293.000     293.009     293.000     293.004     293.003     293.009     293.009     293.010     293.010     293.000
 2.82100E-03     293.000     293.009     293.000     293.005     293.003     293.009     293.009     293.010     293.010     293.000
 2.84100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.010     293.010     293.000
 2.86100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.010     293.010     293.000
 2.88100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.010     293.010     293.000
 2.90100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.010     293.010     293.000
 2.92100E-03     293.000     293.009     293.000     293.006     293.005     293.009     293.009     293.010     293.010     293.000
 2.94100E-03     293.000     293.009     293.000     293.006     293.005     293.009     293.009     293.010     293.010     293.000
 2.96100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.010     293.010     293.000
 2.98100E-03     293.000     293.009     293.000     293.005     293.004     293.009     293.009     293.009     293.009     293.000
 3.00100E-03     293.000     293.009     293.000     293.004     293.003     293.009     293.009     293.009     293.009     293.000
 3.02100E-03     293.000     293.009     293.000     293.004     293.002     293.009     293.009     293.009     293.009     293.000
 3.04100E-03     293.000     293.008     293.000     293.003     293.002     293.009     293.008     293.009     293.009     293.000
 3.06100E-03     293.000     293.008     293.000     293.002     293.001     293.008     293.008     293.009     293.009     293.000
 3.08100E-03     293.000     293.008     293.000     293.002     293.000     293.008     293.008     293.009     293.009     293.000
 3.10100E-03     293.000     293.008     293.000     293.001     293.000     293.008     293.008     293.009     293.009     293.000
 3.12100E-03     293.000     293.008     293.000     293.001     292.999     293.008     293.008     293.009     293.009     293.000
 3.14100E-03     293.000     293.008     293.000     293.000     292.999     293.008     293.008     293.008     293.009     293.000
 3.16100E-03     293.000     293.008     293.000     293.000     292.998     293.008     293.008     293.008     293.008     293.000
 3.18100E-03     293.000     293.008     293.000     293.000     292.998     293.008     293.007     293.008     293.008     293.000
 3.20100E-03     293.000     293.008     293.000     293.000     292.998     293.007     293.007     293.008     293.008     293.000
 3.22100E-03     293.000     293.008     293.000     293.000     292.998     293.007     293.007     293.008     293.008     293.000
 3.24100E-03     293.000     293.007     293.000     293.000     292.998     293.007     293.007     293.008     293.008     293.000
 3.26100E-03     293.000     293.007     293.000     293.000     292.998     293.007     293.007     293.008     293.008     293.000
 3.28100E-03     293.000     293.007     293.000     293.000     292.999     293.007     293.007     293.007     293.008     293.000
 3.30100E-03     293.000     293.007     293.000     293.001     292.999     293.007     293.007     293.007     293.008     293.000
 3.32100E-03     293.000     293.007     293.000     293.002     293.000     293.007     293.007     293.007     293.008     293.000
 3.34100E-03     293.000     293.007     293.000     293.003     293.001     293.007     293.007     293.007     293.007     293.000
 3.36100E-03     293.000     293.007     293.000     293.003     293.002     293.007     293.006     293.007     293.007     293.000
 3.38100E-03     293.000     293.007     293.000     293.004     293.003     293.007     293.006     293.007     293.007     293.000
 3.40100E-03     293.000     293.007     293.000     293.006     293.005     293.007     293.006     293.007     293.007     293.000
 3.42100E-03     293.000     293.007     293.000     293.007     293.007     293.006     293.006     293.007     293.007     293.000
 3.44100E-03     293.000     293.007     293.000     293.008     293.008     293.006     293.006     293.007     293.007     293.000
 3.46100E-03     293.000     293.007     293.000     293.009     293.009     293.006     293.006     293.006     293.007     293.000
 3.48100E-03     293.000     293.007     293.000     293.010     293.011     293.006     293.006     293.006     293.007     293.000
 3.50099E-03     293.000     293.007     293.000     293.012     293.012     293.006     293.006     293.006     293.007     293.000
 3.52099E-03     293.000     293.007     293.000     293.013     293.014     293.006     293.006     293.006     293.006     293.000
 3.54099E-03     293.000     293.007     293.000     293.014     293.015     293.006     293.005     293.006     293.006     293.000
 3.56099E-03     293.000     293.007     293.000     293.015     293.017     293.006     293.005     293.006     293.006     292.999
 3.58099E-03     293.000     293.008     293.000     293.018     293.020     293.006     293.006     293.006     293.006     293.000
 3.60099E-03     293.000     293.008     293.000     293.019     293.021     293.006     293.005     293.006     293.006     293.000
 3.62099E-03     293.000     293.008     293.000     293.020     293.022     293.006     293.005     293.006     293.006     293.000
 3.64099E-03     293.000     293.008     293.000     293.021     293.024     293.005     293.005     293.005     293.006     293.000
 3.66099E-03     293.000     293.008     293.000     293.023     293.025     293.005     293.005     293.005     293.005     293.000
 3.68099E-03     293.000     293.008     293.000     293.024     293.027     293.005     293.005     293.005     293.005     293.000
 3.70099E-03     293.000     293.008     293.000     293.026     293.029     293.005     293.004     293.005     293.005     293.000
 3.72099E-03     293.000     293.009     293.000     293.028     293.032     293.005     293.004     293.005     293.005     293.000
 3.74099E-03     293.000     293.009     293.000     293.031     293.035     293.005     293.004     293.005     293.005     293.000
 3.76099E-03     293.000     293.009     293.000     293.034     293.038     293.005     293.004     293.005     293.005     293.000
 3.78099E-03     293.000     293.009     293.000     293.036     293.041     293.005     293.004     293.005     293.005     293.000
 3.80099E-03     293.000     293.010     293.000     293.041     293.046     293.005     293.004     293.004     293.005     293.000
 3.82099E-03     293.000     293.010     293.000     293.044     293.050     293.005     293.004     293.004     293.005     293.000
 3.84099E-03     293.000     293.011     293.000     293.047     293.054     293.005     293.004     293.004     293.005     293.000
 3.86099E-03     293.000     293.011     293.000     293.050     293.057     293.005     293.004     293.004     293.004     293.000
 3.88099E-03     293.000     293.012     293.000     293.054     293.062     293.005     293.004     293.004     293.004     293.000
 3.90099E-03     293.000     293.012     293.000     293.057     293.066     293.005     293.003     293.004     293.004     293.000
 3.92099E-03     293.000     293.013     293.000     293.062     293.071     293.005     293.003     293.004     293.004     293.000
 3.94099E-03     293.000     293.013     293.000     293.066     293.075     293.005     293.003     293.004     293.004     293.000
 3.96099E-03     293.000     293.014     293.000     293.070     293.080     293.005     293.003     293.004     293.004     293.000
 3.98099E-03     293.000     293.014     293.000     293.075     293.085     293.005     293.003     293.003     293.004     293.000
 4.00099E-03     293.000     293.015     293.000     293.080     293.092     293.005     293.003     293.003     293.004     293.000
 4.02099E-03     293.000     293.016     293.000     293.085     293.097     293.005     293.003     293.003     293.004     293.000
 4.04099E-03     293.000     293.017     293.000     293.091     293.104     293.005     293.003     293.003     293.003     293.000
 4.06099E-03     293.000     293.018     293.000     293.096     293.109     293.005     293.003     293.003     293.003     293.000
 4.08099E-03     293.000     293.019     293.000     293.101     293.115     293.005     293.002     293.003     293.003     293.000
 4.10099E-03     293.000     293.019     293.000     293.106     293.121     293.005     293.002     293.003     293.003     293.000
 4.12099E-03     293.000     293.021     293.000     293.112     293.128     293.005     293.002     293.002     293.003     293.000
 4.14099E-03     293.000     293.022     293.000     293.118     293.135     293.005     293.002     293.002     293.003     293.000
 4.16100E-03     293.000     293.023     293.000     293.125     293.142     293.005     293.002     293.002     293.003     293.000
 4.18100E-03     293.000     293.024     293.000     293.131     293.150     293.005     293.002     293.002     293.002     293.000
 4.20100E-03     293.000     293.026     293.000     293.142     293.161     293.006     293.002     293.002     293.002     293.000
 4.22100E-03     293.000     293.027     293.000     293.149     293.170     293.006     293.001     293.002     293.002     293.000
 4.24100E-03     293.000     293.028     293.000     293.157     293.179     293.006     293.001     293.002     293.002     293.000
 4.26100E-03     293.000     293.030     293.000     293.166     293.188     293.006     293.001     293.001     293.002     293.000
