# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point coordinates (nearest cell centres):
#  P 1:  x= 9.950E-04m  y= 4.950E-04m  z= 6.925E-04m   => i= 101  j=  51  k=  50
#  P 2:  x= 1.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 201  j=  51  k=  50
#  P 3:  x= 2.995E-03m  y= 4.950E-04m  z= 6.925E-04m   => i= 301  j=  51  k=  50
#  P 4:  x= 1.995E-03m  y= 4.950E-04m  z= 6.575E-04m   => i= 201  j=  51  k=  43
#  P 5:  x= 1.995E-03m  y= 4.950E-04m  z= 5.975E-04m   => i= 201  j=  51  k=  31
#  P 6:  x= 1.995E-03m  y= 5.950E-04m  z= 6.925E-04m   => i= 201  j=  61  k=  50
#  P 7:  x= 1.995E-03m  y= 6.450E-04m  z= 6.925E-04m   => i= 201  j=  66  k=  50
#  P 8:  x= 1.995E-03m  y= 7.950E-04m  z= 6.925E-04m   => i= 201  j=  81  k=  50
#  P 9:  x= 1.995E-03m  y= 1.495E-03m  z= 6.925E-04m   => i= 201  j= 151  k=  50
#  P10:  x= 1.995E-03m  y= 4.950E-04m  z= 1.747E-04m   => i= 201  j=  51  k=   4
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 1.28100E-03    1578.377    2404.875     293.000    2119.615    1578.324     293.177     293.024     293.024     293.024     293.023
 1.30100E-03    1571.017    2334.737     293.000    2031.304    1497.788     293.298     293.024     293.024     293.024     293.022
 1.32100E-03    1563.329    2275.000     293.000    1962.407    1428.276     293.483     293.025     293.025     293.025     293.022
 1.34100E-03    1547.174    2216.830     293.000    1907.696    1370.284     293.751     293.026     293.025     293.025     293.021
 1.36100E-03    1526.772    2151.396     293.000    1861.002    1322.171     294.126     293.029     293.026     293.026     293.020
 1.38100E-03    1505.198    2085.104     293.000    1819.259    1281.705     294.633     293.033     293.027     293.027     293.019
 1.40100E-03    1485.605    2025.346     293.000    1781.630    1247.182     295.299     293.040     293.028     293.028     293.019
 1.42100E-03    1467.656    1973.614     293.000    1748.399    1217.314     296.149     293.050     293.030     293.030     293.018
 1.44100E-03    1450.925    1930.000     293.000    1720.252    1191.175     297.209     293.066     293.031     293.031     293.018
 1.46100E-03    1435.126    1893.141     293.000    1697.148    1168.082     298.500     293.088     293.033     293.033     293.018
 1.48100E-03    1420.071    1861.824     293.000    1678.528    1147.517     300.041     293.120     293.035     293.035     293.017
 1.50100E-03    1405.234    1834.163     293.000    1663.356    1128.761     301.846     293.163     293.038     293.038     293.017
 1.52100E-03    1391.352    1810.789     293.000    1650.024    1112.080     303.926     293.220     293.040     293.040     293.017
